"Title","Profit","Year","audienceScore","tomatoMeter","Rating"
"It 2017","$701,842,551",2017,"84","86","R"
"The Wandering Earth","$699,992,512",2019,"48","70",""
"The Twilight Saga: Eclipse","$698,509,825",2010,"60","47","PG-13"
"Mission: Impossible - Ghost Protocol","$694,713,380",2011,"76","93","PG-13"
"Mamma Mia!","$694,476,782",2008,"66","55","PG-13"
"The Hunger Games","$694,394,724",2012,"81","84","PG-13"
"Detective Chinatown 3","$686,257,563",2021,"","60","R"
"Mission: Impossible - Rogue Nation","$682,716,636",2015,"87","94","PG-13"
"Forrest Gump","$678,226,465",1994,"95","71","PG-13"
"Doctor Strange 2016","$677,796,076",2016,"86","89","PG-13"
"Sixth Sense","$672,806,432",1999,"90","86","PG-13"
"Man of Steel","$668,045,518",2013,"75","56","PG-13"
"Ice Age 2","$667,094,506",2006,"71","57","PG"
"Kung Fu Panda the Kaboom of Doom","$665,692,281",2011,"74","80","PG"
"Moana","$665,069,139",2016,"89","95","PG"
"Zack Snyder's Justice League","$657,926,987",2017,"94","71","R"
"Big Hero 6","$657,869,686",2014,"91","90","PG"
"Fantastic Beasts: The Crimes of Grindelwald","$654,855,901",2018,"54","36","PG-13"
"Pirates of the Caribbean: The Curse of the Black Pearl","$654,264,015",2003,"86","80","PG-13"
"Men in Black III","$654,213,485",2012,"70","67","PG-13"
"Star Wars: Episode II - Attack of the Clones","$653,779,970",2002,"56","65","PG"
"The Hunger Games: Mockingjay - Part 2","$653,428,261",2015,"66","70","PG-13"
"Thor: The Dark World","$644,783,140",2013,"75","66","PG-13"
"Sing","$634,338,384",2016,"89","43","PG-13"
"Kung Fu Panda","$632,083,197",2008,"83","87","PG"
"The Incredibles","$631,607,053",2004,"75","97","PG"
"The Martian","$630,620,818",2015,"91","91","PG-13"
"Hancock","$629,443,428",2008,"59","41","PG-13"
"Fast Five","$626,137,675",2011,"83","78","PG-13"
"Iron Man 2","$623,933,331",2010,"71","71","PG-13"
"Ratatouille","$623,726,085",2007,"87","96","G"
"Ant-Man and the Wasp","$622,674,139",2018,"80","87","PG-13"
"How to Train Your Dragon 2","$621,537,519",2014,"89","92","PG"
"Logan 2017","$619,179,950",2017,"90","94","R"
"Lost World Jurassic Park","$618,638,999",1997,"51","54","PG-13"
"Casino Royale","$616,504,662",2006,"90","94","PG-13"
"Passion of the Christ","$612,054,506",2004,"80","49","R"
"Life of Pi","$609,016,565",2012,"84","86","PG"
"Transformers: The Last Knight","$605,425,157",2017,"43","16","PG-13"
"Madagascar: Escape 2 Africa","$603,900,354",2008,"66","64","PG"
"War of the Worlds","$603,873,119",2005,"42","75","PG-13"
"Tangled","$592,462,816",2010,"87","89","PG"
"Quantum of Solace","$589,580,482",2008,"58","64","PG-13"
"Men in Black","$589,390,539",1997,"80","91","PG-13"
"The Croods","$587,235,983",2013,"77","71","PG"
"The Hangover Part II","$586,764,305",2011,"52","34","R"
"Iron Man","$585,796,247",2008,"91","94","PG-13"
"I Am Legend","$585,410,052",2007,"68","68","PG-13"
"Ready Player One","$582,918,849",2018,"77","72","PG-13"
"Monsters, Inc.","$579,707,738",2001,"90","96","G"
"Operation Red Sea","$579,330,426",2018,"64","80",""
"Night at the Museum","$574,481,229",2006,"67","43","PG"
"Fifty Shades of Grey","$569,651,467",2015,"41","24","R"
"Kong: Skull Island","$566,652,812",2017,"69","75","PG-13"
"The Smurfs","$563,749,323",2011,"43","21","PG"
"Cars 2","$559,852,396",2011,"49","39","G"
"King Kong","$556,906,378",2005,"50","84","PG-13"
"Puss in Boots","$554,987,477",2011,"67","86","PG"
"The Mermaid","$553,810,228",2016,"60","95","R"
"Armageddon","$553,709,788",1998,"73","37","PG-13"
"Day After Tomorrow","$552,639,571",2004,"50","45","PG-13"
"Ted","$549,368,315",2012,"73","69","R"
"American Sniper","$547,459,020",2014,"84","72","R"
"Mission: Impossible II","$546,388,108",2000,"42","56","PG-13"
"Detective Chinatown 2","$544,185,156",2018,"66","54","R"
