"Title","Profit","Year","audienceScore","tomatoMeter","Rating","Rank"
"Kingdom of Heaven",218122627,2005,72,39,"R",227
"Jack Reacher",218340595,2012,67,63,"PG-13",228
"The Prince of Egypt",218613188,1998,90,79,"PG",229
"Captain Phillips",218791811,2013,89,93,"PG-13",230
"Little Women",218843645,2019,92,95,"PG",231
"The Terminal",219100084,2004,74,61,"PG-13",232
"It's Complicated",219103655,2009,60,59,"R",233
"What Happens in Vegas",219375562,2008,37,25,"PG-13",234
"Green Lantern",219851172,2011,45,26,"PG-13",235
"Knocked Up",219922417,2007,83,89,"R",236
"Inferno",220021259,2016,36,23,"PG-13",237
"Collateral",220239925,2004,84,86,"R",238
"Scary Movie 3",220673217,2003,54,35,"PG-13",239
"Jungle Cruise",220889446,2021,92,63,"PG-13",240
"Presumed Innocent",221303188,1990,67,86,"R",241
"Geostorm",221600160,2017,35,17,"PG-13",242
"Wild Wild West",222104681,1999,28,16,"PG-13",244
"Fahrenheit 9/11",222446882,2004,70,82,"R",245
"Honey, I Shrunk the Kids",222724172,1989,54,78,"PG",246
"Non-Stop",222809600,2014,75,67,"",247
"Yes Man",223241637,2008,66,46,"PG-13",248
"Flightplan",223387299,2005,48,37,"PG-13",249
"Interview with the Vampire",223664608,1994,86,64,"R",250
"Con Air",224012234,1997,75,58,"R",251
"Chicken Run",224874811,2000,65,97,"G",252
"The Social Network",224920375,2010,87,96,"PG-13",253
"Jumper",225132113,2008,44,15,"PG-13",254
"Ford v Ferrari",225508210,2019,98,92,"PG-13",255
"Better Days",225918798,2019,97,97,"",256
"Good Will Hunting",225933435,1997,94,97,"R",257
"Valerian and the City of a Thousand Planets",225973340,2017,53,48,"PG-13",258
"Elf",226268933,2003,79,85,"PG",259
"Hansel & Gretel: Witch Hunters",226349749,2013,53,16,"R",260
"Lightyear",226425420,2022,84,74,"PG",261
"Percy Jackson & the Olympians: The Lightning Thief",226497209,2010,53,49,"PG",262
"Taken",226837760,2008,85,59,"PG-13",263
"Immortals",226904017,2011,49,49,"R",264
"Baby Driver",226945087,2017,86,92,"R",265
"Youth",227091290,2017,87,81,"",266
"Out of Africa",227514205,1985,82,61,"PG",267
"The Green Hornet",227817248,2011,43,44,"PG-13",268
"Lethal Weapon 2",227853986,1989,77,82,"R",269
"Sleepless in Seattle",227927165,1993,75,75,"PG",270
"Paddington 2",227994792,2017,88,99,"PG",271
"Ghost Rider",228738393,2007,47,27,"PG-13",273
"Ghostbusters",229147509,2016,49,73,"PG-13",274
"The Heat",229930771,2013,71,66,"R",275
"Life Is Beautiful",230098753,1998,96,81,"PG-13",276
"Space Jam",230594962,1996,63,43,"PG",277
"Get Smart",230685453,2008,67,51,"PG-13",278
"Constantine",230884728,2005,72,46,"R",279
"Annabelle Comes Home",231252591,2019,70,64,"R",280
"Sister Act",231605150,1992,65,74,"PG",281
"The English Patient",231976425,1996,83,86,"R",282
"Mr. Bean's Holiday",232225908,2007,49,51,"G",283
"Argo",232325503,2012,90,96,"R",284
"Juno",232372681,2007,88,94,"PG-13",285
"The Girl with the Dragon Tattoo",232617430,2011,86,86,"R",286
"American Wedding",232722935,2003,63,53,"R",287
"The Day the Earth Stood Still",233093859,2008,27,20,"PG-13",288
"Cruella",233503234,2021,97,75,"PG-13",289
"The Imitation Game",233555708,2014,91,90,"PG-13",290
"Alvin and the Chipmunks: The Road Chip",234798636,2015,51,15,"PG",291
"Big Daddy",234801895,1999,74,39,"PG-13",292
"American Reunion",234989584,2012,63,45,"R",293
"American Pie",235483004,1999,61,61,"R",294
"Spy",235666219,2015,78,95,"R",295
"Dead Poets Society",235860116,1989,92,84,"PG",296
"A.I. Artificial Intelligence",235926552,2001,64,75,"PG-13",297
"Hidden Figures",235956898,2016,93,93,"PG",298
"2 Fast 2 Furious",236350661,2003,50,36,"PG-13",299
"Silver Linings Playbook",236412453,2012,86,92,"R",300
"Saturday Night Fever",237113184,1977,71,83,"R",301
"Gone in 60 Seconds",237202299,2000,77,25,"PG-13",302
"Gulliver's Travels",237382724,2010,27,20,"PG",303
"Howl's Moving Castle",237536126,2004,93,87,"PG",304
"Batman & Robin",238235719,1997,16,12,"PG-13",305
"Crazy Rich Asians",238843729,2018,76,91,"PG-13",306
"Planes",239258712,2013,49,25,"PG",307
"Bullet Train",239268602,2022,76,54,"R",308
"Crocodile Dundee II",239606210,1988,38,9,"PG",309
"Die Hard 2",240031274,1990,70,69,"R",310
"Resident Evil: Retribution",240159255,2012,51,28,"R",311
"Click",240685326,2006,66,34,"PG-13",312
"Assassin's Creed",240697856,2016,42,19,"PG-13",313
"Sully",240797623,2016,84,85,"PG-13",314
"Alien: Covenant",240891763,2017,55,65,"R",315
"Eraser",242295562,1996,39,42,"R",316
"RoboCop",242688965,2014,49,49,"PG-13",317
"Daddy's Home",242786137,2015,49,30,"PG-13",318
"8 Mile",242875078,2002,54,75,"R",319
"Cloudy with a Chance of Meatballs",243006126,2009,72,86,"PG",320
"Few Good Men",243240178,1992,89,83,"R",321
"After Earth",243611982,2013,36,12,"PG-13",322
"Journey to the Center of the Earth",244232688,2008,51,61,"PG",323
"Rush Hour",244721064,1998,78,61,"PG-13",324
"Hercules",244819862,2014,33,5,"PG-13",325
"Pixels",244874809,2015,46,18,"PG-13",326
"Back to the Future III",245077583,1990,78,80,"PG",327
"Welcome to the Sticks",245144417,2008,78,67,"",328
"Hulk",245285165,2003,29,62,"PG-13",329
"Dark Shadows",245527149,2012,46,35,"PG-13",330
"Teenage Mutant Ninja Turtles: Out of the Shadows",245623848,2016,46,37,"PG-13",331
"Face/Off",245676146,1997,82,92,"R",332
"Four Weddings and a Funeral",245700832,1994,74,96,"R",333
"Rango",245724603,2011,70,88,"PG",334
"The Peanuts Movie",246233113,2015,76,87,"G",335
"Grown Ups 2",246984278,2013,53,8,"PG-13",336
"Glass",246999039,2019,67,36,"PG-13",337
"Love Actually",247248468,2003,72,64,"R",338
"Dumb and Dumber",247290327,1994,84,68,"PG-13",339
"Journey to the West: The Demons Strike Back",247585244,2017,49,58,"PG-13",340
"Unbreakable",248118121,2000,77,70,"PG-13",341
"The Blair Witch Project",248639099,1999,56,86,"R",342
"The Ring",249348933,2002,48,71,"PG-13",343
"The Bad Guys",250162278,2022,93,88,"PG",344
"The Mask of Zorro",250288523,1998,73,83,"PG-13",345
"The Godfather",250341816,1972,98,97,"R",346
"Brother Bear",250397798,2003,65,37,"G",347
"Eragon",250425512,2006,46,16,"PG",348
"You've Got Mail",250821495,1998,73,70,"PG",349
"Enemy of the State",250849789,1998,78,70,"R",350
"American Hustle",251171807,2013,74,92,"R",351
"Bean",251212670,1997,53,44,"PG-13",352
"Dolittle",251410631,2020,76,15,"PG",353
"True Grit",252276927,2010,85,95,"PG-13",354
"X-Men: Dark Phoenix",252442974,2019,64,22,"PG-13",355
"Hercules",252712101,1997,76,84,"G",356
"High School Musical 3: Senior Year",252909177,2008,72,64,"G",357
"Wild Hogs",253625427,2007,61,14,"PG-13",358
"Men in Black: International",253890701,2019,66,23,"PG-13",359
"Babe",254134910,1995,67,97,"G",360
"Baahubali 2: The Conclusion",254158390,2017,86,87,"",361
"Cliffhanger",255000211,1993,52,67,"R",362
"Marley & Me",255743093,2008,75,63,"PG",363
"Get Out",255745157,2016,86,98,"R",364
"Us",256067149,2019,60,93,"R",365
"Erin Brockovich",256271286,2000,81,85,"R",366
"Lost in Hong Kong",256283912,2015,49,60,"",367
"Encanto",256786742,2021,93,91,"PG",368
"Annabelle",257589721,2014,35,28,"R",369
"Kung Fu Yoga",257753889,2017,32,48,"",370
"The Full Monty",257938649,1997,79,96,"R",371
"Rush Hour 3",258097122,2007,63,17,"PG-13",372
"Charlie's Angels: Full Throttle",259175788,2003,40,41,"PG-13",373
"Mojin: The Lost Legend",259368448,2015,56,56,"",374
"Halloween",259939835,2018,71,79,"R",375
"Super 8",260095986,2011,75,81,"PG-13",376
"The Lone Ranger",260502115,2013,51,31,"PG-13",377
"Terminator: Dark Fate",261119292,2019,82,70,"R",378
"Michael Jackson This Is It",261183588,2009,82,81,"PG",379
"Total Recall",261317921,1990,79,83,"R",380
"Knight and Day",261989769,2008,49,52,"PG-13",381
"Robots",262511490,2005,54,64,"PG",382
"Borat",262552893,2006,79,90,"R",383
"Parasite",262676096,2019,90,99,"R",384
"Jumanji",262821940,1995,87,76,"PG-13",385
"The Fifth Element",263920180,1997,86,71,"PG-13",386
"Charlie's Angels",264105545,2000,45,68,"PG-13",387
"The Truman Show",264118201,1998,89,95,"PG",388
"Waterworld",264218220,1995,43,45,"PG-13",389
"The Incredible Hulk",264770996,2008,69,67,"PG-13",390
"Bridget Jones: The Edge of Reason",265126918,2004,60,27,"R",391
"Something's Gotta Give",265328738,2003,69,72,"PG-13",392
"Indecent Proposal",266614059,1993,47,34,"R",393
"Batman Returns",266915287,1992,73,81,"PG-13",394
"The Princess and the Frog",267045765,2009,74,85,"G",395
"Bambi",267447150,1942,73,91,"G",396
"Blade Runner 2049",267770708,2017,81,88,"R",397
"Exodus: Gods and Kings",268175631,2014,35,30,"PG-13",398
"Epic",268426634,2013,65,64,"PG",399
"American Gangster",269755430,2007,89,81,"R",400
"10,000 BC",269784201,2008,37,9,"PG-13",401
"Gran Torino",269958228,2008,90,81,"R",402
"We're the Millers",269994119,2012,72,49,"R",403
"The Firm",270248367,1993,64,76,"R",404
"Neighbors",270665134,2014,63,73,"R",405
"Grown Ups",271457301,2010,62,11,"PG-13",406
"The Silence of the Lambs",272742922,1991,95,95,"R",407
"Lilo & Stitch",273144151,2002,77,87,"PG",408
"Bad Boys II",273339556,2003,78,23,"R",409
"Jerry Maguire",273552592,1996,79,84,"R",410
"The Nutty Professor",273961019,1996,44,64,"PG-13",411
"Cloudy with a Chance of Meatballs 2",274325949,2013,66,71,"PG",412
"The Expendables",274470394,2010,64,42,"R",413
"Tomb Raider",274650803,2018,55,53,"PG-13",414
"Lara Croft: Tomb Raider",274703340,2001,47,20,"PG-13",415
"Lincoln",275293450,2012,81,89,"PG-13",416
"Scooby-Doo",275678613,2002,39,32,"PG",417
"Mr. Peabody & Sherman",275698039,2014,73,81,"PG",418
"The Bourne Legacy",276144750,2012,58,55,"PG-13",419
"xXx",277448382,2002,58,48,"PG-13",420
"Scary Movie",278019771,2000,43,51,"R",421
"Split",278454417,2017,79,78,"PG-13",422
"The Tourist",278780441,2010,42,21,"PG-13",423
"Bridget Jones Diary",281995610,2001,81,80,"R",424
"Paddington",282377683,2014,80,97,"PG",425
"Turbo",282570682,2013,65,67,"PG",426
"John Carter",284139100,2012,60,52,"PG-13",427
"Lethal Weapon 4",285444603,1998,64,52,"R",428
"Elvis",286040048,2022,94,77,"PG-13",429
"Elysium",286140700,2013,58,64,"R",430
"Oblivion",286168572,2013,61,54,"PG-13",431
"The Green Mile",286801374,1999,94,79,"R",432
"Pitch Perfect 2",287144079,2015,64,65,"PG-13",433
"American Pie 2",287553595,2001,68,52,"R",434
"Casper",287928194,1995,49,51,"PG",435
"Maze Runner: The Death Cure",288175335,2018,58,43,"PG-13",436
"Wedding Crashers",288485135,2005,70,75,"R",437
"Coming to America",288752301,1988,85,73,"R",438
"Divergent",288885818,2014,69,41,"PG-13",439
"Shakespeare in Love",289317794,1998,80,92,"R",440
"Sex and the City 2",290745055,2010,43,15,"R",441
"The Bourne Supremacy",290835269,2004,90,82,"PG-13",442
"Pacific Rim: Uprising",290930148,2018,37,42,"PG-13",443
"What Lies Beneath",291420351,2000,58,47,"PG-13",444
"The Departed",291480452,2006,94,90,"R",445
"G-Force",292817898,2009,39,22,"PG",446
"Salt",293503354,2010,59,62,"PG-13",447
"Bee Movie",293514336,2007,53,49,"PG",448
"Doctor Dolittle",294456605,1998,57,29,"G",449
"Shutter Island",294805697,2010,77,68,"R",450
"Ferdinand",296069199,2017,52,71,"PG",451
"X-Men",296339528,2000,83,82,"PG-13",452
"Miss Peregrine's Home for Peculiar Children",296482446,2016,60,64,"PG-13",453
"Ghostbusters",296578797,1984,88,95,"PG",454
"Austin Powers in Goldmember",296938801,2002,44,53,"PG-13",455
"Look Who's Talking",296999813,1989,47,55,"PG-13",456
"The Divergent Series: Insurgent",297002527,2015,58,28,"PG-13",457
"A Quiet Place Part II",297372261,2021,92,91,"PG-13",458
"Ocean's Eight",297795726,2018,45,68,"PG-13",459
"Horton Hears a Who!",298572799,2008,73,80,"G",460
"Real Steel",299268508,2011,73,60,"PG-13",461
"My Best Friend's Wedding",299288605,1997,73,73,"PG-13",462
"Alice Through the Looking Glass",299820798,2016,48,29,"PG",463
"Beverly Hills Cop II",299965036,1987,57,46,"R",464
"Stuart Little",300135367,1999,41,67,"PG",465
"Van Helsing",300157638,2004,57,24,"PG-13",466
"Resident Evil: Afterlife",300228084,2010,48,21,"R",467
"Rambo: First Blood Part II",300400432,1985,60,33,"R",468
"Rocky IV",300473716,1985,78,37,"PG",469
"Superman",300478449,1978,86,93,"PG",470
"Hook",300854823,1991,76,29,"PG",471
"Fantastic Four: Rise of the Silver Surfer",301913131,2007,51,37,"PG",472
"Wrath of the Titans",301970083,2012,49,26,"PG-13",473
"G.I. Joe: The Rise of Cobra",302469017,2009,50,33,"PG-13",474
"Liar Liar",302710615,1997,75,83,"PG-13",475
"Battleship",303025485,2012,54,33,"PG-13",476
"Passengers",303144152,2016,63,30,"PG-13",477
"Dangal",303723636,2016,93,88,"",478
"Mulan",304320254,1998,85,86,"G",479
"A Good Day to Die Hard",304654182,2013,40,15,"R",480
"Skyscraper",304868961,2018,68,48,"PG-13",481
"Bridesmaids",306442085,2011,76,89,"R",482
"Annabelle: Creation",306515884,2017,67,70,"R",483
