"Title","Profit","Year","audienceScore","tomatoMeter","Rating"
"The Croods",587235983,2013,77,71,"PG"
"Men in Black",589390539,1997,80,91,"PG-13"
"Quantum of Solace",589580482,2008,58,64,"PG-13"
"Tangled",592462816,2010,87,89,"PG"
"War of the Worlds",603873119,2005,42,75,"PG-13"
"Madagascar: Escape 2 Africa",603900354,2008,66,64,"PG"
"Transformers: The Last Knight",605425157,2017,43,16,"PG-13"
"Life of Pi",609016565,2012,84,86,"PG"
"Passion of the Christ",612054506,2004,80,49,"R"
"Casino Royale",616504662,2006,90,94,"PG-13"
"Lost World Jurassic Park",618638999,1997,51,54,"PG-13"
"Logan 2017",619179950,2017,90,94,"R"
"How to Train Your Dragon 2",621537519,2014,89,92,"PG"
"Ant-Man and the Wasp",622674139,2018,80,87,"PG-13"
"Ratatouille",623726085,2007,87,96,"G"
"Iron Man 2",623933331,2010,71,71,"PG-13"
"Fast Five",626137675,2011,83,78,"PG-13"
"Hancock",629443428,2008,59,41,"PG-13"
"The Martian",630620818,2015,91,91,"PG-13"
"The Incredibles",631607053,2004,75,97,"PG"
"Kung Fu Panda",632083197,2008,83,87,"PG"
"Sing",634338384,2016,89,43,"PG-13"
"Thor: The Dark World",644783140,2013,75,66,"PG-13"
"The Hunger Games: Mockingjay - Part 2",653428261,2015,66,70,"PG-13"
"Star Wars: Episode II - Attack of the Clones",653779970,2002,56,65,"PG"
"Men in Black III",654213485,2012,70,67,"PG-13"
"Pirates of the Caribbean: The Curse of the Black Pearl",654264015,2003,86,80,"PG-13"
"Fantastic Beasts: The Crimes of Grindelwald",654855901,2018,54,36,"PG-13"
"Big Hero 6",657869686,2014,91,90,"PG"
"Zack Snyder's Justice League",657926987,2017,94,71,"R"
"Moana",665069139,2016,89,95,"PG"
"Kung Fu Panda the Kaboom of Doom",665692281,2011,74,80,"PG"
"Ice Age 2",667094506,2006,71,57,"PG"
"Man of Steel",668045518,2013,75,56,"PG-13"
"Sixth Sense",672806432,1999,90,86,"PG-13"
"Doctor Strange 2016",677796076,2016,86,89,"PG-13"
"Forrest Gump",678226465,1994,95,71,"PG-13"
"Mission: Impossible - Rogue Nation",682716636,2015,87,94,"PG-13"
"Detective Chinatown 3",686257563,2021,NA,60,"R"
"The Hunger Games",694394724,2012,81,84,"PG-13"
"Mamma Mia!",694476782,2008,66,55,"PG-13"
"Mission: Impossible - Ghost Protocol",694713380,2011,76,93,"PG-13"
"The Twilight Saga: Eclipse",698509825,2010,60,47,"PG-13"
"The Wandering Earth",699992512,2019,48,70,""
"It 2017",701842551,2017,84,86,"R"
"The Amazing Spider-Man 2",708982323,2014,64,51,"PG-13"
"Transformers the Movie",709709780,2007,85,58,"PG-13"
"Dawn of the Planet of the Apes",710644566,2014,88,91,"PG-13"
"The Twilight Saga: New Moon",711025481,2009,61,29,"PG-13"
"The Twilight Saga: Breaking Dawn - Part 1",712205856,2011,60,25,"PG-13"
"Captain America: The Winter Soldier",714421503,2014,92,90,"PG-13"
"F9",726229501,2021,82,59,"PG-13"
"Ne Zha",726264074,2019,98,88,""
"Up",735099102,2009,90,98,"PG"
"The Matrix Reloaded",741847937,2003,72,73,"R"
"Monsters University",743559645,2013,81,80,"G"
"Chronicles of Narnia Lion Witch Wardrobe",745013115,2005,61,76,"PG"
"X-Men: Days of Future Past",746045700,2014,91,90,"PG-13"
"Suicide Squad",746846894,2016,58,26,"PG-13"
"Madagascar 3: Europe's Most Wanted",746921274,2012,72,78,"PG"
"Gravity",748049949,2013,79,96,"PG-13"
"Shrek Forever After",752600867,2010,54,57,"PG"
"The Hunger Games: Mockingjay - Part 1",755356711,2014,71,69,"PG-13"
"The Amazing Spider-Man",757930663,2012,77,71,"PG-13"
"Maleficent",758411779,2014,70,54,"PG"
"Da Vinci Code",760006945,2006,57,25,"PG-13"
"Fast & Furious Presents: Hobbs & Shaw",760732926,2019,88,68,"PG-13"
"Thor: Love and Thunder",760928081,2022,77,64,"PG-13"
"The Batman",770836163,2022,87,85,"PG-13"
"Black Panther: Wakanda Forever",772662471,2022,94,84,"PG-13"
"Guardians of the Galaxy",773350147,2014,92,92,"PG-13"
"Interstellar",773837686,2014,86,73,"PG-13"
"No Time to Die",774153007,2021,88,83,"PG-13"
"Star Wars: A New Hope",775398007,1977,96,93,"PG"
"Deadpool",782836791,2016,90,85,"R"
"Deadpool 2",785896609,2018,85,84,"R"
"Fast & Furious 6",788680968,2013,84,70,"PG-13"
"SpiderMan 2",788976453,2004,82,93,"PG-13"
"Indiana Jones and the Kingdom of the Crystal Skull",790653942,2008,53,78,"PG-13"
"2012",791217826,2009,47,39,"PG-13"
"Mission: Impossible - Fallout",791657398,2018,88,97,"PG-13"
"E.T. the ExtraTerrestrial",792910554,1982,72,99,"PG"
"Pirates of the Caribbean: Dead Men Tell No Tales",794881442,2017,60,30,"PG-13"
"Harry Potter and the Prisoner of Azkaban",797660766,2004,86,90,"PG"
"Jumanji: The Next Level",801693929,2019,87,71,"PG-13"
"Coco 2017",807817888,2017,94,97,"PG"
"Shrek the Third",813367380,2007,52,41,"PG"
"Fantastic Beasts and Where to Find Them",814044001,2016,79,74,"PG-13"
"Independence Day",817400891,1996,75,67,"PG-13"
"Hi, Mom",822009764,2021,56,73,"R"
"Wonder Woman",822854286,2017,78,83,"PG-13"
"Spider-Man",825025036,2002,67,90,"PG-13"
"Transformers: Revenge of the Fallen",836303693,2009,57,20,"PG-13"
"Inception",836848102,2010,91,87,"PG-13"
"The Twilight Saga: Breaking Dawn - Part 2",848853382,2012,70,49,"PG-13"
"Thor: Ragnarok",853983879,2017,87,93,"PG-13"
"Venom 2018",856085151,2018,80,29,"PG-13"
"Inside Out 2015",858848019,2015,89,98,"PG"
"Guardians of the Galaxy Vol. 2",863756051,2017,87,85,"PG-13"
"The Hunger Games: Catching Fire",865011746,2013,89,90,"PG-13"
"Star Wars: Episode III - Revenge of the Sith",868390560,2005,66,79,"PG-13"
"Wolf Warrior 2",870325439,2017,75,69,""
"Batman v Superman: Dawn of Justice",873637528,2016,63,29,"PG-13"
"Ice Age: Continental Drift",877244782,2012,61,37,"PG"
"Spider-Man: Homecoming",880166924,2017,87,92,"PG-13"
"Spectre 2015",880705312,2015,61,63,"PG-13"
"Ice Age: Dawn of the Dinosaurs",886686817,2009,63,46,"PG"
"The Secret Life of Pets",894328469,2016,62,72,"PG"
"SpiderMan 3",894983373,2007,51,63,"PG-13"
"Harry Potter and the Goblet of Fire",896815106,2005,74,88,"PG-13"
"The Lord of the Rings: The Fellowship of the Ring",898204420,2001,95,91,"PG-13"
"The Battle at Lake Changjin",902548476,2021,100,36,""
"Bohemian Rhapsody",910809311,2018,85,60,"PG-13"
"Harry Potter and the Chamber of Secrets",925054421,2002,80,82,"PG"
"Shrek 2",928760770,2004,69,89,"PG"
"Harry Potter and the Half-Blood Prince",934504700,2009,78,84,"PG"
"Minions: The Rise of Gru",939433210,2022,89,70,"PG"
"Finding Nemo",940352645,2003,86,99,"G"
"Harry Potter and the Order of the Phoenix",942235757,2007,81,78,"PG-13"
"The Lord of the Rings: The Two Towers",947944270,2002,95,95,"PG-13"
"Doctor Strange in the Multiverse of Madness",955775804,2022,85,74,"PG-13"
"The Hobbit: The Desolation of Smaug",959027992,2013,85,74,"PG-13"
"Pirates of the Caribbean: At World's End",960996492,2007,72,44,"PG-13"
"The Hobbit: The Battle of the Five Armies",962201338,2014,74,59,"PG-13"
"The Jungle Book 2016",966554929,2016,86,94,"PG"
"Despicable Me 2",970766005,2013,85,75,"PG"
"Harry Potter and the Deathly Hallows: Part 1",977070383,2010,85,77,"PG-13"
"Jumanji: Welcome to the Jungle",995339117,2017,87,76,"PG-13"
"Jurassic World: Dominion",1001136080,2022,77,29,"PG-13"
"The Dark Knight",1006234167,2008,94,94,"PG-13"
"The Hobbit: An Unexpected Journey",1017030651,2012,83,64,"PG-13"
"Harry Potter and the Sorcerer's Stone",1023842938,2001,82,81,"PG"
"Alice in Wonderland",1025468216,2010,55,51,"PG"
"Star Wars: Episode I - The Phantom Menace",1027082707,1999,59,51,"PG"
"Finding Dory",1028570942,2016,84,94,"PG"
"Despicable Me 3",1034800131,2017,53,59,"PG"
"Zootopia",1042533689,2016,92,98,"PG"
"Pirates of the Caribbean: On Stranger Tides",1045713802,2011,54,33,"PG-13"
"Aladdin",1050693953,2019,94,57,"PG"
"Rogue One: A Star Wars Story",1058682142,2016,87,84,"PG-13"
"The Lion King",1063611805,1994,93,93,"G"
"Pirates of the Caribbean: Dead Man's Chest",1066179747,2006,72,53,"PG-13"
"Toy Story 3",1066970811,2010,90,98,"G"
"Toy Story 4",1073394593,2019,94,97,"G"
"Star Wars: The Rise of Skywalker",1074149279,2019,86,52,"PG-13"
"Joker 2019",1074458282,2019,88,68,"R"
"The Dark Knight Rises",1081169825,2012,90,87,"PG-13"
"Transformers: Age of Extinction",1104054072,2014,50,17,"PG-13"
"Skyfall",1108569499,2012,86,92,"PG-13"
"Jurassic Park",1109802321,1993,91,91,"PG-13"
"Transformers: Dark of the Moon",1123794079,2011,55,35,"PG-13"
"Captain Marvel",1128462972,2019,45,79,"PG-13"
"Spider-Man: Far from Home",1131927996,2019,95,90,"PG-13"
"The Lord of the Rings: The Return of the King",1146457748,2003,86,93,"PG-13"
"Aquaman",1148528393,2018,73,65,"PG-13"
"Captain America: Civil War",1153337496,2016,89,90,"PG-13"
"Minions",1159444662,2015,49,55,"PG"
"Iron Man 3",1214811252,2013,78,79,"PG-13"
"The Fate of the Furious",1236005118,2017,72,67,"PG-13"
"Incredibles 2",1243089244,2018,84,93,"PG"
"Frozen 2013",1304550716,2013,85,90,"PG"
"Beauty and the Beast 2017",1305611599,2017,80,71,"PG"
"Jurassic World: Fallen Kingdom",1310466296,2018,48,47,"PG-13"
"Star Wars: The Last Jedi",1332698830,2017,42,91,"PG-13"
"Harry Potter and the Deathly Hallows: Part 2",1342359942,2011,89,96,"PG-13"
"Black Panther 2018",1382248826,2018,79,96,"PG-13"
"Avengers: Age of Ultron",1402809540,2015,82,76,"PG-13"
"Frozen II",1450026933,2019,92,77,"PG"
"Top Gun: Maverick",1488732821,2022,99,96,"PG-13"
"Furious 7",1515341399,2015,82,81,"PG-13"
"Marvel's The Avengers",1518815515,2012,91,91,"PG-13"
"The Lion King",1663250487,2019,93,93,"G"
"Jurassic World",1671537444,2015,78,71,"PG-13"
"Spider-Man: No Way Home",1916306995,2021,98,93,"PG-13"
"Avengers: Infinity War",2048359754,2018,92,85,"PG-13"
"Star Wars: Episode VII - The Force Awakens",2069521700,2015,85,93,"PG-13"
"Titanic",2201647264,1997,69,87,"PG-13"
"Avengers: Endgame",2797501328,2019,90,94,"PG-13"
"Avatar",2922917914,2009,82,82,"PG-13"
